LIH,380,377.72,242.67,464.96,482.97,455.22
SRQ,400,397.86,323.15,347.99,358.82,389.21
LBB,300,303.84,360.4,404.47,323.01,336.20
XNA,330,331.75,514.17,357.14,379.17,374.11
MAF,460,460.21,349.01,329.27,351.72,476.69
LEX,485,484.85,435.16,160.12,428.7,151.72
MYR,450,447.2,269.73,515.61,231.96,359.64
ITO,190,188.86,217.89,234.26,467.35,487.50
MLI,460,459.28,421.64,369.57,401.52,365.35
CAE,330,327.6,510.5,495.02,519.94,536.28
AZA,425,424.4,173.32,321.19,477.43,209.70
FSD,400,403.61,411.9,355.57,408.09,420.20
AMA,350,348.12,360.32,401.81,392.33,354.32
CID,330,327.66,488.84,376.75,420.17,365.46
EUG,370,371.15,383.43,428.2,274.31,493.83
BTR,390,391.03,442.55,407.02,165.27,397.37
BIL,385,383.76,407.19,410.95,358.91,365.75
SBA,525,525.56,433.96,475.99,441.83,427.92
ILM,330,327.94,429.77,413.34,434.33,377.87
PSP,365,366.84,424.89,417.91,439.43,137.80
PSC,405,404.51,405.05,380.87,376.26,433.87
BMI,400,399.42,352.49,511.44,481.12,438.31
FAR,405,406.98,473.86,405.6,133.25,370.38
SFB,300,300.65,136.32,433.36,346.64,414.52
AVL,165,165.58,395.16,336.76,426.38,437.39
MFE,450,449.44,440.04,138.59,391.67,396.18
SGF,435,433.33,463.74,397.97,447.29,300.11
GRB,305,305.23,425.23,390.68,408.57,382.89
CRW,425,424.06,413.96,484.84,408.25,379.41
SBN,380,382.49,405.47,446.08,141.55,418.74
CHA,405,404.46,405.51,416.33,460.84,398.21
CRP,415,413.9,440.87,383.15,384.97,429.48
HRL,350,351.52,328.44,144.81,586.9,549.59
PIE,595,595.56,142.18,430.25,316.13,401.23
GPT,370,369.92,456.59,412.06,430.11,141.17
FWA,440,439.01,418.5,419.11,462.67,321.67
ECP,420,419.02,386.49,398,411.38,462.43
FAY,335,335.67,459.59,387.05,446.15,449.00
ROA,390,392.99,461.71,458.16,406.34,455.96
AGS,440,438.71,444.85,447.18,462.35,494.79
FAI,460,457.47,556.46,329.97,426.34,463.30
MFR,410,412.28,388.11,420.5,434.82,505.09
AVP,435,433.15,427.55,500.57,397.19,363.17
BZN,425,425.02,427.36,446.73,455.92,447.66
TLH,480,477.89,497.77,438.64,516.83,530.01
PIA,135,134.75,408.3,508.58,493.08,379.01
MSO,410,412.34,449.78,336.85,507.69,441.57
BQN,425,425.49,269.72,432.78,354.58,463.00
VPS,320,321.94,525.95,498.12,518.06,388.18
SHV,495,493.67,535.02,447.35,462.4,587.36
SWF,130,128.82,370.06,242.64,386.5,448.53
MOB,400,399.15,514,361.16,365.32,503.58
RDM,495,493.16,357.89,504.72,448.4,354.03
ATW,505,504.4,427.4,419.14,527.54,359.46
DAB,540,540.53,359.38,328.22,336.2,532.92
TRI,425,425.11,438.21,490.7,539.53,462.77
CHO,445,443.01,470.91,434.53,425.38,521.34
LFT,435,434.28,509.77,449.49,464.87,360.22
RAP,490,487.74,478.74,399.58,458.07,429.98
GRK,400,399.48,508.81,494.08,499.34,420.69
GJT,460,460.07,414.12,431.87,484.91,554.03
OAJ,340,340.46,437.89,466.54,244.13,486.31
